atleta_id,apelido,clube,posicao,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,CA,DS,FC,FD,FF,FS,SG,G,I,A,PS,V,GC,PC,CV,DE,GS,FT,PP,DP
115479,Paulo Pezzolano,INT,Técnico,7.66,0.11,4.83,27,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92981,Ronaldo,INT,Meia,3.37,-0.23,1.92,12,1.26,2.0,11.0,14.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106202,Bruno Gomes,INT,Meia,6.66,-0.5,3.76,26,2.5,4.0,50.0,29.0,2.0,8.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84674,Lucas Evangelista,PAL,Meia,3.98,-0.31,1.2,22,1.49,0.0,7.0,8.0,1.0,5.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97653,Murilo,PAL,Zagueiro,8.11,1.82,3.87,23,3.04,3.0,21.0,32.0,6.0,3.0,5.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
71684,Gustavo Gómez,PAL,Zagueiro,11.12,0.18,5.37,24,4.17,2.0,23.0,24.0,2.0,10.0,4.0,9.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111466,Victor Gabriel,INT,Zagueiro,3.51,0.0,2.16,16,1.32,6.0,20.0,22.0,0.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
110506,Abel Ferreira,PAL,Técnico,12.37,0.44,6.74,27,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104084,Carlos Miguel,PAL,Goleiro,8.72,-0.28,5.2,26,3.27,3.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,21.0,0.0,0.0,0.0
104085,Bruno Fuchs,PAL,Zagueiro,8.31,-0.19,4.61,8,3.12,0.0,9.0,7.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110510,Aguirre,INT,Lateral,6.73,0.0,4.21,18,2.52,3.0,21.0,18.0,4.0,7.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70592,Felipe Anderson,PAL,Meia,6.46,-0.25,3.34,20,2.42,1.0,25.0,10.0,1.0,5.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
105175,Khellven,PAL,Lateral,6.49,0.97,3.25,19,2.43,3.0,20.0,18.0,0.0,3.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
117910,Breno Bidon,COR,Meia,7.7,-1.25,3.5,24,2.89,4.0,25.0,31.0,2.0,7.0,55.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
143488,Raykkonen,INT,Atacante,2.63,0.0,0.5,1,0.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113103,Flaco López,PAL,Atacante,13.45,0.0,6.91,24,5.04,2.0,28.0,33.0,12.0,24.0,49.0,0.0,8.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99818,Paulinho,PAL,Atacante,10.37,0.0,3.42,6,3.89,1.0,1.0,1.0,0.0,3.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124526,Giay,PAL,Lateral,7.32,-0.15,4.84,22,2.75,4.0,35.0,24.0,1.0,4.0,32.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73318,Daniel Borges,MIR,Lateral,5.14,0.0,3.84,5,1.93,1.0,6.0,3.0,1.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79066,Alex Muralha,MIR,Goleiro,4.99,0.22,4.35,2,1.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0
93790,Marlon Freitas,PAL,Meia,5.49,0.0,2.5,25,2.06,6.0,29.0,26.0,1.0,12.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78855,Thiago Santos,CFC,Zagueiro,4.3,0.0,3.24,18,1.61,7.0,23.0,23.0,2.0,3.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
